STM0001	thr operon leader peptide
STM0002	bifunctional aspartate kinase/homoserine dehydrogenase I
STM0003	homoserine kinase
STM0004	threonine synthase
STM0005	peroxide stress protein YaaA
STM0006	sodium:alanine symporter family protein
STM0007	transaldolase
STM0008	molybdopterin adenylyltransferase
STM0009	hypothetical protein
STM0010	hypothetical protein
STM0011	hypothetical protein
STM0012	molecular chaperone DnaK
STM0013	molecular chaperone DnaJ
STM0014	hypothetical protein
STM0015	hypothetical protein
STM0016	hypothetical protein
STM0017	hypothetical protein
STM0018	chitinase
STM0019	chitinase
STM0020	hypothetical protein
STM0021	fimbrial protein
STM0022	fimbrial chaperone protein
STM0023	outer membrane usher protein
STM0024	fimbrial protein
STM0025	fimbrial protein
STM0026	fimbrial protein
STM0027	fimbrial chaparone
STM0028	hypothetical protein
STM0029	transcriptional regulator
STM0030	putative LysR family transcriptional regulator
STM0031	transcriptional regulator
STM0032	putative arylsulfatase
STM0033	multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase
STM0034	hypothetical protein
STM0035	putative arylsulfatase
STM0036	anaerobic sulfatase maturase
STM0037	putative cytoplasmic protein
STM0038	putative arylsulfatase
STM0039	Na(+)/H(+) antiporter NhaA
STM0040	transcriptional activator of nhaA
STM0041	family 31 glucosidase
STM0042	MFS transporter
STM0043	30S ribosomal protein S20
STM0044	hypothetical protein
STM0045	riboflavin biosynthesis protein RibF
STM0046	isoleucine--tRNA ligase
STM0047	signal peptidase II
STM0048	peptidylprolyl isomerase
STM0049	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
STM0050	putative nitrite reductase
STM0051	ribonucleoside hydrolase RihC
STM0052	response regulator
STM0053	histidine kinase
STM0054	oxaloacetate decarboxylase subunit beta
STM0055	oxaloacetate decarboxylase subunit alpha
STM0056	oxaloacetate decarboxylase subunit gamma
STM0057	citrate:sodium symporter
STM0058	putative citrate lyase synthetase
STM0059	citrate lyase acyl carrier protein
STM0060	citrate (pro-3S)-lyase subunit beta
STM0061	citrate lyase subunit alpha
STM0062	holo-ACP synthase CitX
STM0063	triphosphoribosyl-dephospho-CoA synthase CitG
STM0064	4-hydroxy-tetrahydrodipicolinate reductase
STM0065	putative viral protein
STM0066	carbamoyl phosphate synthase small subunit
STM0067	carbamoyl phosphate synthase large subunit
STM0068	CaiF/GrlA family transcriptional regulator
STM0069	phenylacetic acid degradation protein PaaY
STM0070	carnitinyl-CoA dehydratase
STM0071	crotonobetaine/carnitine-CoA ligase
STM0072	L-carnitine CoA-transferase
STM0073	crotonobetainyl-CoA--carnitine CoA-transferase
STM0074	L-carnitine:gamma-butyrobetaine antiporter
STM0075	electron transfer flavoprotein
STM0076	nitrogen fixation protein FixB
STM0077	oxidoreductase
STM0078	ferredoxin family protein
STM0079	MFS transporter
STM0080	hypothetical protein
STM0081	hypothetical protein
STM0082	hypothetical protein
STM0083	hypothetical protein
STM0084	phosphatase
STM0085	glutathione-regulated potassium-efflux system ancillary protein KefF
STM0086	glutathione-regulated potassium-efflux system protein KefC
STM0087	dihydrofolate reductase
STM0088	bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
STM0089	Co2+/Mg2+ efflux protein ApaG
STM0090	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase
STM0091	4-hydroxythreonine-4-phosphate dehydrogenase PdxA
STM0092	peptidylprolyl isomerase SurA
STM0093	LPS assembly protein LptD
STM0094	molecular chaperone DjlA
STM0095	bifunctional tRNA pseudouridine(32) synthase/ribosomal large subunit pseudouridine synthase RluA
STM0096	RNA polymerase-binding ATPase
STM0097	DNA polymerase II
STM0098	putative secreted protein
STM0099	hypothetical protein
STM0100	DUF4751 domain-containing protein
STM0101	L-ribulose-5-phosphate 4-epimerase
STM0102	L-arabinose isomerase
STM0103	ribulokinase
STM0104	DNA-binding transcriptional regulator AraC
STM0105	hypothetical protein
STM0106	thiamine ABC transporter ATP-binding protein
STM0107	thiamine/thiamine pyrophosphate ABC transporter permease ThiP
STM0108	thiamine ABC transporter substrate binding subunit
STM0109	transcriptional regulator SgrR
STM0110	3-isopropylmalate dehydratase small subunit
STM0111	3-isopropylmalate dehydratase large subunit
STM0112	3-isopropylmalate dehydrogenase
STM0113	2-isopropylmalate synthase
STM0114	leu operon leader peptide
STM0115	transcriptional regulator LeuO
STM0116	valine sensitive acetolactate synthase III, large subunit
STM0117	acetolactate synthase small subunit
STM0118	DNA-binding transcriptional regulator FruR
STM0119	cell division/cell wall cluster transcriptional repressor MraZ
STM0120	16S rRNA (cytosine(1402)-N(4))-methyltransferase
STM0121	cell division protein FtsL
STM0122	peptidoglycan glycosyltransferase FtsI
STM0123	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
STM0124	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
STM0125	phospho-N-acetylmuramoyl-pentapeptide-transferase
STM0126	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
STM0127	cell division protein FtsW
STM0128	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
STM0129	UDP-N-acetylmuramate--L-alanine ligase
STM0130	D-alanine--D-alanine ligase
STM0131	cell division protein FtsQ
STM0132	cell division protein FtsA
STM0133	cell division protein FtsZ
STM0134	UDP-3-O-[3-hydroxymyristoyl
STM0135	putative inner membrane protein
STM0136	preprotein translocase subunit SecA
STM0137	8-oxo-dGTP diphosphatase
STM0138	DNA gyrase inhibitor YacG
STM0139	cell division protein ZapD
STM0140	dephospho-CoA kinase
STM0141	GMP reductase
STM0142	type IV pilin biogenesis protein
STM0143	type II secretion system protein GspE
STM0144	prepilin peptidase-dependent pilin
STM0145	nicotinate-nucleotide diphosphorylase
STM0146	N-acetylmuramoyl-L-alanine amidase
STM0147	regulatory signaling modulator protein AmpE
STM0148	alpha-N-arabinofuranosidase
STM0149	MFS transporter
STM0150	APC family aromatic amino acid transporter
STM0151	transcriptional regulator PdhR
STM0152	pyruvate dehydrogenase (acetyl-transferring), homodimeric type
STM0153	pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase
STM0154	dihydrolipoyl dehydrogenase
STM0155	hypothetical protein
STM0156	hypothetical protein
STM0157	hypothetical protein
STM0158	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
STM0159	putative restriction endonuclease
STM0160	UPF0231 family protein
STM0161	2-keto-3-deoxygluconate permease
STM0162	hypothetical protein
STM0163	4-hydroxythreonine-4-phosphate dehydrogenase PdxA
STM0164	DeoR family transcriptional regulator
STM0165	S-adenosylmethionine decarboxylase
